"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Smoke run","","0","0","2","0","0"
"","Smoke run","Run with parametrize","0","0","3","0","0"
"","Smoke run","Change object","0","0","2","0","0"
